[GIN] 2026/08/22 - 16:57:18 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:19 | 200 |      1.5673ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:26 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:26 | 200 |     25.3912ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:26 | 200 |     17.3498ms |       127.0.0.1 | GET      "/v1/models"
[GIN] 2026/08/22 - 16:57:27 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:27 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:57:27 | 200 |      6.2264ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:27 | 200 |      6.4163ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:27 | 200 |      4.6772ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:27 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/08/22 - 16:57:27 | 200 |     26.1829ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:27 | 200 |     32.4367ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |     45.3036ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |     49.0031ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |     46.4412ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |     51.2954ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:27 | 200 |    261.3446ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    278.3081ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    306.3103ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    373.1431ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    398.9893ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    338.2824ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    341.3727ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    347.9184ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    347.4292ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    332.1162ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    338.9418ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    343.9805ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    327.6049ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |     335.618ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    225.6837ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    318.7067ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |    324.3564ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:27 | 200 |     307.707ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:28 | 200 |      3.9859ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:28 | 200 |      1.0845ms |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:28 | 200 |     17.1359ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:28 | 200 |     63.5317ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:28 | 200 |     67.7424ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:28 | 200 |     67.8841ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:28 | 200 |     66.2182ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:28 | 200 |     68.5403ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:28 | 200 |     69.5759ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:28 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:28 | 200 |      6.7664ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:28 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:29 | 200 |     83.9272ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     93.3858ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     98.2688ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     99.9776ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     99.8132ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |    105.2665ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |      7.6557ms |       127.0.0.1 | GET      "/v1/models"
[GIN] 2026/08/22 - 16:57:29 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:29 | 200 |      6.0134ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:29 | 200 |   10.3681469s |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/08/22 - 16:57:29 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:29 | 200 |      80.038ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     70.5856ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     98.2223ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     99.6088ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     71.4704ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |     99.1071ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:29 | 200 |      1.0992ms |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:29 | 200 |      3.9633ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:29 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:30 | 200 |     48.8894ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     47.4086ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     49.6324ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     44.8864ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     44.8864ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     48.9069ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:30 | 200 |      2.3497ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:30 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:30 | 200 |     13.8096ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     14.2558ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     16.2187ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     17.3536ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     18.4115ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     17.8766ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:30 | 200 |      7.1155ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:30 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:30 | 200 |     12.3712ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |      9.4089ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |      9.4089ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     13.4973ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     14.0237ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     13.4973ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:30 | 200 |      5.3887ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:30 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:30 | 200 |     39.2859ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     38.9253ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     39.4479ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     38.9375ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     39.4479ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:30 | 200 |     40.1116ms |       127.0.0.1 | POST     "/api/show"
